wn,ar...1.,ar...2.,ar...3.,ar...4.,ar...5.,ar...6.,ma,arma...1.,arma...2.,arma...3.,arma...4.,arma...5.,arma...6.,arima...1.,arima...2.,arima...3.,arima...4.,arima...5.,arima...6.,arfima...1.,arfima...2.,arfima...3.,arfima...4.,arfima...5.,arfima...6.,tar...1.,tar...2.,tar...3.,tar...4.,tar...5.,tar...6.,setar...1.,setar...2.,setar...3.,setar...4.,setar...5.,setar...6.,arma_tren1,arma_tren2,arma_season1
-0.895467674,-0.857330723,1.017188337,-0.252412635,1.288874258,0.963019378,-0.22883144,-0.169360229,-1.306976065,0.62787037,-0.145229796,-0.779793353,1.094633461,4.731314058,0,0,0,0,0,0,0.479792695,0.803145891,-0.626527268,1.408017445,-10.64703213,-0.960492451,-4.547243951,-0.047669021,0.005788751,-1.374336819,1.608068266,6.880145655,-0.078048811,-0.802316997,0.958719362,-0.368987831,1.024381439,-1.578521905,-1.132445498,-0.432445498,3.361255252
-0.558425038,1.846334358,0.667861372,1.09997797,1.203624132,1.459944458,0.868788411,-0.092561653,-0.349325245,1.458410116,1.322648937,0.483875465,1.124774799,3.487926988,0.95846627,-0.525615573,-1.274845211,-0.775359328,0.467452674,-0.101403209,1.586282135,0.534174134,0.340082691,0.156323341,-11.23887823,3.502948001,-3.343490604,-2.387774369,-0.993314405,0.640601883,-1.481784415,5.22796579,0.996391246,0.366480238,0.361607364,0.744621856,-0.596918181,1.330929453,0.560031909,0.060031909,4.299821259
-0.104844443,-2.944546488,-1.549990115,-1.392843363,-1.162483153,-0.698867783,-0.500935996,-0.495557726,0.81188297,2.007147124,0.056115944,-0.046185899,0.393260908,2.868596219,0.784717224,-0.415968877,-0.995110194,-2.572961053,2.03141601,1.603168746,-1.067047691,0.643675355,0.062556605,-0.139283525,-11.67545595,-2.302324985,0.776549111,0.027412971,0.789874532,1.013344109,1.600021102,4.858480898,0.837050115,-0.709298146,0.180936276,0.259030769,1.559843958,0.665909352,0.740136878,-1.759863122,1.106805212
1.060075318,2.686853762,0.656757969,0.176046259,-0.079486392,-0.24278519,-0.414080474,-1.160144127,-2.585625025,1.98452731,0.488850825,2.008179797,0.93556932,0.949213409,0.23207797,0.262163239,-0.999730482,-3.285522586,3.611086921,2.299463977,1.954029252,-0.241624407,0.915789519,0.565394388,-11.80740909,1.326348779,-2.06783366,-0.400601968,1.706102893,-1.410539205,-2.30760431,5.647057132,0.868771535,1.201387144,-0.143566452,-0.080642923,1.330569047,-0.977293768,2.676146868,-2.623853132,0.539954313
-1.444207474,-2.915510053,-0.760044855,-0.514946293,-0.505290306,-0.594455743,-0.870014094,-0.615998865,3.7133925,-0.8706798,-0.21695786,-0.167663416,-0.151422237,0.067935402,3.294407371,0.121171604,-1.804640189,-4.482785862,3.659093014,1.54606776,-1.352937999,-0.196647086,1.868216793,1.318617168,-12.08203371,0.562105202,0.228546714,0.914162282,1.523706204,-0.135114866,0.422602765,7.003595212,0.535267849,0.895262493,-0.245180421,0.29049121,2.15218138,-0.244940501,3.636859485,-5.263140515,0.491515815
1.816191338,2.572576729,0.252635623,0.000112311,-0.101911349,-0.289164616,-0.834395003,-0.811921104,-3.521837239,0.004379792,0.366157915,-0.625479258,1.063377991,1.239317599,3.808149955,-0.364334148,-1.62539917,-5.078129069,4.030029349,0.967453349,-1.146032542,-0.305089472,-0.228665586,1.559818106,-11.45928449,-0.121665428,1.376766654,-1.53521554,1.780339185,0.998182888,-0.380103102,6.988598698,1.046826669,-0.099217193,-2.104620781,0.493294092,0.42583824,1.263258215,2.220442107,-11.07955789,1.824774918
-0.834886313,-3.449524636,-1.235259829,-1.134216811,-1.144396715,-1.249871426,-1.885161082,-2.138884618,3.996082697,2.025618767,-1.190049791,0.255916487,-0.578091711,-0.31101795,3.6926611,-1.122041306,-1.309152497,-6.911852194,4.041475329,0.877971858,1.767122667,0.268156689,0.997029662,2.101990253,-8.566474963,0.205124317,-3.331288969,0.887911839,0.668669529,-0.79901566,1.144899715,7.023949525,0.266254794,0.041200787,-0.173210219,-1.611456377,0.80510268,0.354669826,0.301370248,-18.19862975,4.471897087
-0.362480549,4.095632237,1.485163996,1.104481745,0.876620393,0.491111494,-0.70558491,-1.380991682,-5.128514784,-1.22089118,-0.768985286,-0.541596228,0.919197136,-2.715580271,4.100732762,0.146792,-1.298803283,-8.720616854,4.56456282,1.326937832,-0.083499636,-0.714098829,-0.132263043,1.461939795,-8.14484945,-2.067939416,-1.415769435,0.23314858,0.57193658,1.723333284,-1.142841219,6.398859659,-0.5380919,1.350215801,-1.359542363,-0.658794912,0.71120802,1.060314174,0.036101733,-24.46389827,3.090072289
0.907072438,-3.892614306,-0.800610892,-0.316993468,-0.118883254,-0.010100696,-0.841571712,0.690860697,5.457367697,2.042183745,0.457959948,-0.000404783,0.173648231,-4.657613152,2.657205038,-1.959387502,-0.848368171,-9.176941936,4.729467369,1.91385832,0.032660389,-0.168298846,-2.368707983,3.055900646,-8.050578869,1.848658968,-1.245186509,0.282060032,-0.255084772,-1.607308606,-0.302687641,6.708320008,1.235983739,0.245663154,-0.705387379,-1.526211657,0.932229782,0.521664027,1.291774435,-30.00822557,0.225463939
-0.854296997,3.300232076,0.117123557,-0.171421453,-0.215009125,-0.207161078,-0.960535341,-0.023948997,-2.331277329,-0.700654661,-0.796984468,-2.053016573,0.600078065,-4.736761456,2.908760895,-2.799018071,-1.514663636,-8.214094504,5.286890388,3.48385411,-0.798671422,2.557782166,-1.010420037,1.910244401,-5.289587582,-0.703655172,0.817543109,0.181727898,1.258769518,-1.018597244,0.156226183,5.605871245,0.589567812,0.363089779,-1.505985782,-1.122709473,0.606743974,1.509706382,0.441046191,-38.45895381,-0.887431889
